Position,Company,Region,Link
[전문연구요원] 의료영상 리서치 엔지니어 정규직,메디픽셀,서울 마포구,https://kr.indeed.com/rc/clk?jk=3544467a7b64376f&fccid=aba88c202493b8a5&vjs=3
한국행동과학연구소 각 부문 수시,한국행동과학연구소,서울 강남구,https://kr.indeed.com/rc/clk?jk=287a2f9783758916&fccid=bfea989faf5bd4e4&vjs=3
Data Engineer & Scientist,LG전자,서울 영등포구,https://kr.indeed.com/rc/clk?jk=b69be827afbc43ab&fccid=9702ca14c9a11940&vjs=3
Software,ASML,대한민국,https://kr.indeed.com/rc/clk?jk=c7c700a8d7bd4b6e&fccid=57ed5f0210b0681a&vjs=3
네트워크 보안 담당자 채용,케이뱅크은행,서울 중학동,https://kr.indeed.com/rc/clk?jk=65d17e4704beb445&fccid=5c3222a7b96c49cc&vjs=3
Data/Digital Analyst,The Trade Desk,서울,https://kr.indeed.com/company/The-Trade-Desk-Japan-K.K.-(Japan)/jobs/Data-Digital-Analyst-659e8fe1fe7f9089?fccid=73918ffb65693970&vjs=3
Lighthouse 인턴 채용,삼정 KPMG,서울 강남구,https://kr.indeed.com/rc/clk?jk=577dd792f6217346&fccid=7651bf7c7525e8f6&vjs=3
SCM혁신 신입/경력 사원 공개채용,유한킴벌리,서울 신천동,https://kr.indeed.com/rc/clk?jk=c759fe51adbc3ea1&fccid=b946e043e6327409&vjs=3
AI 솔루션팀-NLP 경력 채용,한화그룹,서울,https://kr.indeed.com/rc/clk?jk=356779182611406f&fccid=bd0dc1817223394f&vjs=3
자율 주행  로봇 SW 개발자,에바,성남 수정구,https://kr.indeed.com/rc/clk?jk=e30fe92d72ceb17c&fccid=5cc87f5890bd7170&vjs=3
BI팀 채용,GC녹십자지놈,용인 기흥구,https://kr.indeed.com/rc/clk?jk=4721ceaf47437a8b&fccid=d841ec1b32c04ab7&vjs=3
2022년 하반기,포소드,서울 영등포구,https://kr.indeed.com/rc/clk?jk=4d42c4aa89b8d6b3&fccid=03adf364bfd83c1c&vjs=3
Data Scientist,Dupont,충청남도 천안,https://kr.indeed.com/rc/clk?jk=ccd195801ae326d8&fccid=76bce720eab9a7b0&vjs=3
데이터 사이언스 분야 경력,LG전자,서울특별시,https://kr.indeed.com/rc/clk?jk=e197dd4d8a6dddec&fccid=9702ca14c9a11940&vjs=3
[기술본부] 데이터거버넌스 엔지니어,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=d37ee1c76b41a9aa&fccid=aba87288e4cc3687&vjs=3
LDI/리서치본부 채권리서치팀 인턴,엔에이치아문디자산운용,서울 영등포구,https://kr.indeed.com/rc/clk?jk=12053ca553510d6b&fccid=e39e5030f94e4712&vjs=3
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/rc/clk?jk=8af26b37623864c4&fccid=ac216a9ae7b75c06&vjs=3
2022년 상반기 백엔드 개발자,반달소프트,성남 분당구,https://kr.indeed.com/rc/clk?jk=1601f1bfe3302af5&fccid=f35f7fc5e918087a&vjs=3
